Festival,Film,Creator,State,Country,Lat,Long,Place,Award_Description
First Time Filmmaker Sessions,Fever Dream (2022),Timothy Friend '25 & Leila Hernandez-Webster '25,South East,United Kingdom,51.6,-0.531907689,Official Selection,
Student World Impact Film Festival,Fever Dream (2022),Timothy Friend '25 & Leila Hernandez-Webster '25,New York,United States of America,40.9,-73.8,Nominee,Best Student Film
Coliseum International Film Festival,Fever Dream (2022),Timothy Friend '25 & Leila Hernandez-Webster '25,Lazio,Italy,41.7,12.4,Finalist,
Coliseum International Film Festival,Effigy (2023),Timothy Friend '25 & Ian Hopkins '25,Lazio,Italy,41.74932628,12.3,Winner,Best Direction
Lift Off Filmmaker Sessions,Effigy (2023),Timothy Friend '25 & Ian Hopkins '25,South East,United Kingdom,51.5,-0.531907689,Official Selection,
Lift Off Filmmaker Sessions,Could've (2023),Timothy Friend '25 & Sophie Gould '25,South East,United Kingdom,51.54886052,-0.5,Official Selection,
Gothamite Monthly Film Awards,Could've (2023),Timothy Friend '25 & Sophie Gould '25,New York,United States of America,40.69,-73.9,Winner,Best Student Documentary
American Golden Picture International Film Festival,Could've (2023),Timothy Friend '25 & Sophie Gould '25,Florida,United States of America,30.31270402,-81.71888756,Honorable Mention,
Duemila30,Could've (2023),Timothy Friend '25 & Sophie Gould '25,Lombardy,Italy,45.47500247,9.185244292,Official Selection,
Robert F. Kennedy Student Video Contest,Could've (2023),Timothy Friend '25 & Sophie Gould '25,New York,United States of America,40.71959816,-74.00990291,Honorable Mention,
International Short Cinema Festival,Shattered (2024),Timothy Friend '25 & Leila Hernandez-Webster '25,La Paz,Bolivia,-16.5275399,-68.1479753,Winner,Best Screenplay & Best Short Film 5-10 Minutes
Lift Off Filmmaker Sessions,Shattered (2024),Timothy Friend '25 & Leila Hernandez-Webster '25,South East,United Kingdom,51.54886052,-0.531907689,Official Selection,
British University International Students Film Festival,Could've (2023),Timothy Friend '25 & Sophie Gould '25,Al Qahirah,Egypt,30.1177845,31.60599,Finalist,
The Chico Independent Film Festival,Could've (2023),Timothy Friend '25 & Sophie Gould '25,California,United States of America,39.74866663,-121.8339421,Official Selection,
Cayuga Film Festival,Could've (2023),Timothy Friend '25 & Sophie Gould '25,New York,United States of America,42.93085832,-76.56699011,Winner,Best College Short Documentary
Echo BRICS Film Festival,Effigy (2023),Timothy Friend '25 & Ian Hopkins '25,Moskva,Russia,55.70309538,37.58644754,Official Selection,
Gothamite Monthly Film Awards,Shattered (2024),Timothy Friend '25 & Leila Hernandez-Webster '25,New York,United States of America,40.85,-73.9,Official Selection,
FESTCESAG: Festival International Universitario De Documental Social,Could've (2023),Timothy Friend '25 & Sophie Gould '25,Illes Balears,Spain,39.59166473,2.619927242,Official Selection,
Miami 4 Social Change Youth Film Festival,Could've (2023),Timothy Friend '25 & Sophie Gould '25,Florida,United States of America,25.87713549,-80.24573602,Honorable Mention,
IndieFEST Film Awards ,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,California,United States of America,32.86528514,-117.2441126,Winner,Best Latin/Hispanic Theme (Student)
Indie House,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,Barcelona,Spain,41.38901264,2.155811715,Winner,Best Student Film
Lost River Film Fest,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,Texas,United States of America,29.87271262,-97.94485758,Official Selection,
First Time Filmmaker Sessions,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,South East,United Kingdom,51.3,-0.4,Official Selection,
KIDS FIRST! Film Festival,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,New Mexico,United States of America,35.67911884,-105.9476774,Official Selection,
American Golden Picture International Film Festival,Those Who Don't (2024),Yasmine Tohme '24 & Ryan Rivera '25,Florida,United States of America,30.35405731,-81.60763745,Official Selection,
